상품URL,상호/대표자,브랜드,사업자번호,연락처,E-mail,영업소재지
https://www.musinsa.com/products/5408819,주식회사 어반시티 / 이상수,어반디타입,2118884705,07086908027,kimyj@urbancity.co.kr,서울시 강남구 압구정로 10길 32(신사동)
https://www.musinsa.com/products/4405500,유한회사 나이키코리아 / Taylor Chase Louis,나이키,2208809068,0800220182,service@nike.co.kr,서울 강남구 테헤란로 152 (강남파이낸스센터) 30층 (역삼동)
https://www.musinsa.com/products/4397828,"(주)이랜드월드패션사업부 / 최운식, 김일규",후아유,1138519030,16709700,kang_wooseok@eland.co.kr,서울 강서구 마곡동로 146 (마곡 이랜드 글로벌 R&D센터)
https://www.musinsa.com/products/5238455,"주식회사 티시(Tish Inc.) / 천혜민, 박경진",테켓,7358802529,070-8899-0711,service@te-ket.com,"서울 마포구 성지1길 39 1층, 4층, 5층"
https://www.musinsa.com/products/5592703,미스토코리아 주식회사 / 김지헌,휠라,7168101573,1577-3472,F10015250_FK@fila.com,서울 성북구 보문로 35 (다홍빌딩) 3~8층 (보문동7가)
https://www.musinsa.com/products/5513438,주식회사 무신사트레이딩(MUSINSA TRADING) / 이지훈,디키즈,2118837444,15995012,customer@musinsatrading.com,"서울 용산구 이태원로 190 6층,7층"
https://www.musinsa.com/products/4479785,(주)비케이브 / 윤형석,리,2618117293,1551-6613,jin_sw@bcave.co.kr,"서울 마포구 잔다리로 20-5 3층, 4층, 5층"
https://www.musinsa.com/products/5362283,패션AFD / 임수현,엑스컨테이너,8480101373,070-5223-2929,fashionafd@gmail.com,경기 구리시 갈매순환로166번길 46 구리갈매금강펜테리움아이엑스타워 제지식산업센터동 제5층 511호
https://www.musinsa.com/products/5486578,주식회사 위캔드기어컴퍼니 / 임병관,위캔더스,7338801994,07088019696,sales@wkndrs.kr,"서울특별시 종로구 김상옥로 17 신관 4층 401호(연지동, 대호빌딩)"
https://www.musinsa.com/products/4475265,데상트코리아주식회사 / SHIMIZU MOTONARI,르꼬끄,2208601214,080-565-5600,Juhyun_Kim1@trans-cosmos.co.kr,"서울 송파구 올림픽로 300 32층 (신천동, 롯데월드타워)"
https://www.musinsa.com/products/4508143,(주) 더네이쳐홀딩스 / 박영준,내셔널지오그래픽,1068626388,0215882906,cs@nglife.co.kr,서울 용산구 새창로44길 10 더네이쳐홀딩스빌딩
https://www.musinsa.com/products/4543114,주식회사 레몬트리커머스 / 전은혜,벤셔먼,1058705811,07082904062,nania7908@nate.com,"서울 금천구 가산디지털1로 196 7층 705호 (가산동, 에이스테크노타워 10차)"
https://www.musinsa.com/products/5484478,주식회사 세임온도 / 이광재,바이탈싸인,1328802579,070-4647-0016,vitalsign_official@naver.com,서울 성북구 보문로22길 28 (신일빌딩) 4층 (안암동3가)
