순위,상품명,상호,사업자번호,연락처,URL
1,"설향 딸기 대과, 500g, 1개",-,-,-,https://www.coupang.com/vp/products/7708594893?itemId=20657657272&vendorItemId=79445011579&pickType=COU_PICK&q=딸기&searchId=63266f366483003&sourceType=search&itemsCount=36&searchRank=0&rank=0
2,"설향 딸기 대과, 500g, 2개",-,-,-,https://www.coupang.com/vp/products/7708594893?itemId=20974391461&vendorItemId=88039347874&q=딸기&searchId=63266f366483003&sourceType=search&itemsCount=36&searchRank=1&rank=1
3,"마이팜 설향 고당도 제철 딸기, 1개, 1kg (특)",마이팜 농업회사법인 주식회사 / 마원,533-81-02109,010-7131-1094,https://www.coupang.com/vp/products/9060990205?itemId=24924721259&vendorItemId=91509480859&sourceType=srp_product_ads&clickEventId=e4f5d4e0-c7a6-11f0-a50f-3796216f0692&korePlacement=15&koreSubPlacement=3&clickEventId=e4f5d4e0-c7a6-11f0-a50f-3796216f0692&korePlacement=15&koreSubPlacement=3
4,"설향 딸기 중과, 500g, 1개",-,-,-,https://www.coupang.com/vp/products/8785655895?itemId=25820485069&vendorItemId=79852251776&q=딸기&searchId=63266f366483003&sourceType=search&itemsCount=36&searchRank=3&rank=3
5,"선물받고 싶은 새벽에 수확한 설향 딸기, 특 15과 350g, 1박스",(주)드림스 / 이현준,504-86-18476,010-5944-5990,https://www.coupang.com/vp/products/8489284034?itemId=24641999120&vendorItemId=83952821113&sourceType=srp_product_ads&clickEventId=e4f5d4e0-c7a6-11f0-8b32-98810ab2a3cc&korePlacement=15&koreSubPlacement=5&clickEventId=e4f5d4e0-c7a6-11f0-8b32-98810ab2a3cc&korePlacement=15&koreSubPlacement=5
1,"설향 딸기 대과, 500g, 2개",-,-,-,https://www.coupang.com/vp/products/7708594893?itemId=20974391461&vendorItemId=88039347874&pickType=COU_PICK&q=딸기&searchId=43d505895184103&sourceType=search&itemsCount=36&searchRank=0&rank=0
2,"설향 딸기 대과, 500g, 1개",-,-,-,https://www.coupang.com/vp/products/7708594893?itemId=20657657272&vendorItemId=79445011579&q=딸기&searchId=43d505895184103&sourceType=search&itemsCount=36&searchRank=1&rank=1
3,"마이팜 설향 고당도 제철 딸기, 1개, 2kg (특)",마이팜 농업회사법인 주식회사 / 마원,533-81-02109,010-7131-1094,https://www.coupang.com/vp/products/9060990205?itemId=24496322351&vendorItemId=91509480865&sourceType=srp_product_ads&clickEventId=17b9a580-c9ed-11f0-9755-b75ac1bde240&korePlacement=15&koreSubPlacement=3&clickEventId=17b9a580-c9ed-11f0-9755-b75ac1bde240&korePlacement=15&koreSubPlacement=3
4,"설향 딸기 중과, 500g, 1개",-,-,-,https://www.coupang.com/vp/products/8785655895?itemId=25820485069&vendorItemId=79852251776&q=딸기&searchId=43d505895184103&sourceType=search&itemsCount=36&searchRank=3&rank=3
5,"[프리미엄] 킹스베리 딸기 논산 농장직송, 1개, 왕특 1팩(400g) 8-9과",싱싱제철 / 권경훈,247-02-03236,070-4571-8819,https://www.coupang.com/vp/products/8489746225?itemId=24572018973&vendorItemId=91583980998&sourceType=srp_product_ads&clickEventId=17b9a580-c9ed-11f0-a286-d516e044ddfe&korePlacement=15&koreSubPlacement=5&clickEventId=17b9a580-c9ed-11f0-a286-d516e044ddfe&korePlacement=15&koreSubPlacement=5
